"","horse_id","horse_name","mean_acceleration","median_acceleration","range_acceleration","iqr_acceleration","cluster"
"1",1,"Sounds Delicious",0.126496404504454,-0.0256414872476872,3.6251410393179,0.163177818622459,4
"2",2,"Crimson Frost",0.087014744630972,1.16051915155266e-05,6.01386600574066,0.177471474275289,5
"3",3,"Friend of Liberty",0.113729578159822,-0.0526578457778173,3.55927875698414,0.199280364475433,2
"4",4,"Bobby's Song",0.141861000359188,-0.0224746876820276,4.5913942782887,0.268475869123284,2
"5",5,"Bourbon N Rye",0.131861029958114,-0.056965534275939,6.30799466667722,0.273828038963234,5
"6",6,"Bourbon Did It",0.12949039373894,-0.0451654202383149,4.04158715611843,0.194593720867958,2
"7",7,"Tenency",0.142938432273207,-0.0328688809440381,5.4333898321822,0.220033211125149,5
"8",8,"Legion Storm",0.098128802564706,-0.01418512210695,4.24461298553756,0.22587843803709,1
"9",9,"Frost's Song",0.0937120138202427,-0.03214050085405,2.8843293489134,0.285048515176135,3
"10",10,"Kavansberg",0.0903688672056648,-0.0214008998471754,5.35202663166877,0.339473137856789,6
"11",11,"Tammany Giant",0.072422947986172,-0.0546957028435726,2.83533829139334,0.231406123105613,3
"12",12,"Call It a Truce",0.168931813701793,-0.0525706268078672,3.62894340347709,0.206719957676438,7
"13",13,"Annette's Humor",0.128875872936123,-0.0524972333776172,4.69010114678665,0.267648721721246,2
"14",14,"Rose of Dublin",0.0909183285253341,-0.036060949123039,3.92018174961912,0.19591120266131,4
"15",15,"Caralicious",0.124910434806815,-0.0311282714278131,4.88811980563944,0.223549319320127,2
"16",16,"Big Brown Cat",0.110449565422204,-0.0694372269043227,3.72678317006356,0.207581901652197,3
"17",17,"Dontcallmefrancis",0.110692987804553,-0.043732696601469,4.22361760235331,0.21737810029601,2
"18",18,"Ladyberg",0.13812697524898,-0.03668281457182,5.57469748661382,0.271202628600208,2
"19",19,"T J's Rose Ella",0.106249157534809,-0.0388681366328854,4.53790184331756,0.215375548813404,4
"20",20,"Small Bear",0.0616575307340229,-0.0188852179364724,3.14698399424844,0.191931541920645,3
"21",21,"Holiday Bonus",0.0846278624520325,-0.00990021935554036,4.29616649183599,0.201705844616762,1
"22",22,"Backsideofthemoon",0.0857890868830881,-0.0163166392917178,4.71896416720614,0.206250668008796,1
"23",23,"Hit It Once More",0.080022676679511,-0.0382361969564783,4.37680762241744,0.188816485181008,1
"24",24,"Roaming Union",0.0749431147680156,-0.0154612974277863,5.31135631997765,0.212645187750166,1
"25",25,"Bronx Sandman",0.0505005043442139,-0.0349157286807614,3.05053362795503,0.163171561115477,3
"26",26,"Carrera Cat",0.113844859088319,-0.0431916744527159,4.77121736926124,0.241486277767524,2
"27",27,"Gentle Annie",0.126352472698888,-0.0131089619579612,3.9812212164561,0.261342562533669,2
"28",28,"Passporttovictory",0.11503663168946,-0.0290562124025166,4.7249434451371,0.242941037182337,2
