"","horse_id","horse_name","median_total_strain","min_avg_strain","iqr_total_strain","min_total_strain","sd_avg_strain","cluster"
"1",1,"Sounds Delicious",-0.0329990755888478,-2.44774102227285,0.374807197943257,-9.79096408909139,2.80721736374865,8
"2",2,"Crimson Frost",-0.0393433747872877,-3.75630062087507,0.328810483743337,-28.0492445473755,4.95671876996647,6
"3",3,"Friend of Liberty",-0.0690824799050593,-2.42503137555505,0.411802981691124,-14.1051105830831,2.63324825392356,4
"4",4,"Bobby's Song",-0.0457166388994692,-4,0.427416184596132,-9.50943787437227,2.64895627000023,5
"5",5,"Bourbon N Rye",-0.128012255524547,-4,0.615152380190924,-37.6736573954854,4.70292222107669,5
"6",6,"Bourbon Did It",-0.0995677951082284,-4,0.397840623182411,-20.0035113188681,3.44887594242455,5
"7",7,"Tenency",-0.113648976775567,-2.84669917712885,0.45280686192941,-17.0801950627731,2.95381977195403,4
"8",8,"Legion Storm",-0.105696589408145,-4,0.612504852241181,-33.4474081262266,4.73855184474315,5
"9",9,"Frost's Song",-0.163914436586025,-2.94602605378971,0.49186545162679,-17.6761563227383,3.37157858699061,3
"10",10,"Kavansberg",-0.089910685022846,-3.25415235760208,0.756368692284167,-26.2897410866536,3.43437887240942,1
"11",11,"Tammany Giant",-0.188019041356598,-4,0.5072197136868,-21.8397902211149,2.47295172124009,5
"12",12,"Call It a Truce",-0.0939216813134648,-2.97690198066728,0.548663810035785,-20.838313864671,3.23450063662096,1
"13",13,"Annette's Humor",-0.0817960350262649,-3.17370877401322,0.612947015145597,-23.2158686827801,2.97506926021056,1
"14",14,"Rose of Dublin",-0.0973313117958894,-2.95963619702859,0.529620192467674,-22.3694136352145,3.02371568001199,1
"15",15,"Caralicious",-0.074673305021918,-4,0.484183778508184,-19.0987753196587,3.51441958760637,5
"16",16,"Big Brown Cat",-0.0579627098660078,-3.15777124495704,0.391964485495379,-17.0922884804156,5.14261418671146,8
"17",17,"Dontcallmefrancis",-0.0758736006166613,-4,0.556409015467338,-21.2970927977228,3.59486470806209,5
"18",18,"Ladyberg",-0.0582662995256236,-3.44790910203835,0.542265404446924,-24.1353637142684,4.45287917481359,8
"19",19,"T J's Rose Ella",-0.145511782720129,-4,0.419408169892654,-25.5620415967509,6.93377754308105,5
"20",20,"Small Bear",-0.0765938835841296,-4,0.547359836245574,-17.8325926196542,9.40879515685729,6
"21",21,"Holiday Bonus",-0.0290948405477276,-4,0.470391161414237,-20.2513682945939,3.48047627297326,5
"22",22,"Backsideofthemoon",-0.0451812891908764,-4,0.420990718390241,-22.8475872059767,4.19927741576897,5
"23",23,"Hit It Once More",-0.0471053112434053,-4,0.463273055856864,-20.4151912365401,5.67647304971806,5
