"","horse_id","horse_name","sd_avg_strain","sd_total_strain","range_acceleration","max_acceleration","iqr_speed","max_avg_strain","iqr_acceleration","iqr_total_strain","mean_acceleration","min_speed","mean_speed","median_speed","min_total_strain","min_avg_strain","median_acceleration","iqr_avg_strain","median_avg_strain","cluster"
"1",1,"Sounds Delicious",2.80721736374865,13.1336555126533,3.6251410393179,3.26436541826908,1.69362975365949,17.1629528871397,0.163177818622459,0.374807197943257,0.126496404504454,3.70515948286837,16.9982788995769,17.1846838434143,-9.79096408909139,-2.44774102227285,-0.0256414872476872,0.085964046492418,-0.00748491492607241,8
"2",2,"Crimson Frost",4.95671876996647,29.075027971716,6.01386600574066,3.10160269079306,1.39784067132145,113.406046449579,0.177471474275289,0.328810483743337,0.087014744630972,2.98683363502241,16.5689247066221,17.0437645668906,-28.0492445473755,-3.75630062087507,1.16051915155266e-05,0.0833819689349851,-0.0103706914598694,1
"3",3,"Friend of Liberty",2.63324825392356,13.2131990696881,3.55927875698414,3.22333614570644,1.9413401505619,25.7151049830344,0.199280364475433,0.411802981691124,0.113729578159822,3.40426282651351,16.7280877937833,16.9597690214274,-14.1051105830831,-2.42503137555505,-0.0526578457778173,0.0814901218458768,-0.013813181698867,6
"4",4,"Bobby's Song",2.64895627000023,10.5472331303181,4.5913942782887,3.90916486649048,2.23369120119285,17.8645897357994,0.268475869123284,0.427416184596132,0.141861000359188,3.23149523718237,16.3443896148011,16.7000892571708,-9.50943787437227,-4,-0.0224746876820276,0.106854046149033,-0.0116101203677136,5
"5",5,"Bourbon N Rye",4.70292222107669,31.5156792731043,6.30799466667722,5.36114360343378,2.7896066616749,83.6803360385276,0.273828038963234,0.615152380190924,0.131861029958114,1.51171505506763,16.4961269131609,16.6944106689556,-37.6736573954854,-4,-0.056965534275939,0.0900377230478801,-0.0202566100626801,1
"6",6,"Bourbon Did It",3.44887594242455,22.825934217885,4.04158715611843,3.6206952808699,2.25237431954502,31.9589064717319,0.194593720867958,0.397840623182411,0.12949039373894,2.04902841071751,16.823924167613,17.0991268556558,-20.0035113188681,-4,-0.0451654202383149,0.064132684730633,-0.0168735645454494,6
"7",7,"Tenency",2.95381977195403,19.4751751768965,5.4333898321822,4.96755552333085,2.08601744779376,28.8080812225558,0.220033211125149,0.45280686192941,0.142938432273207,2.75223154875912,16.6400354488997,16.7599102581342,-17.0801950627731,-2.84669917712885,-0.0328688809440381,0.0661253768034884,-0.0159604744383789,5
"8",8,"Legion Storm",4.73855184474315,32.0749281373692,4.24461298553756,3.55138363585318,1.51060932983118,141.858745602454,0.22587843803709,0.612504852241181,0.098128802564706,2.79980629204752,16.7308101138624,16.9498838304854,-33.4474081262266,-4,-0.01418512210695,0.0857895264149607,-0.0152180999531695,3
"9",9,"Frost's Song",3.37157858699061,20.1819849345577,2.8843293489134,2.44163300628235,2.21000271531907,16.7048393979011,0.285048515176135,0.49186545162679,0.0937120138202427,7.34815966226424,16.2186328677833,16.1271387106338,-17.6761563227383,-2.94602605378971,-0.03214050085405,0.0842365034168728,-0.0275875748637597,8
"10",10,"Kavansberg",3.43437887240942,25.9088300030006,5.35202663166877,3.06382724827877,2.29942000611694,27.0896375060646,0.339473137856789,0.756368692284167,0.0903688672056648,3.33248299719897,15.9940855843354,16.0305231708573,-26.2897410866536,-3.25415235760208,-0.0214008998471754,0.10551252836931,-0.0131733506681332,5
