"","race_id","horse_id","horse_name","mean_side_movement","max_side_movement","range_side_movement","iqr_side_movement","cluster"
"1","AQU_20190101_8",47,"Mind Control",-0.00830961260143206,0.198991822994456,0.430204482876825,0.0777005500054404,1
"2","AQU_20190101_8",48,"Our Braintrust",-0.00373579816170385,0.167210879547658,0.451819372620099,0.0950763019673293,1
"3","AQU_20190101_8",49,"Family Biz",-0.00764690224521656,0.180771531879845,0.430845759810914,0.0810840816338446,1
"4","AQU_20190101_8",50,"Gates of Dawn",-0.00413686207945594,0.248928875804057,0.516519291362459,0.0757333277451626,1
"5","AQU_20190101_8",51,"Souper Jackpot",-0.0367384396493688,0.207641273437666,0.580713951026498,0.10293212520648,5
"6","AQU_20190101_8",52,"Direct Order",-0.000168527836987477,0.204950509931425,0.446286326049671,0.0972090719566789,1
"7","AQU_20190104_1",62,"Excess Capacity",-0.000356732205038848,0.271899096378196,0.567599178361569,0.127570086373385,6
"8","AQU_20190104_1",63,"Paynterbynumbers",-0.0103295812669378,0.182699842132316,0.455013392912194,0.101333026282588,1
"9","AQU_20190104_1",64,"Fancy That",-0.0141772030789185,0.206530297337521,0.456942836963611,0.101142272648992,1
"10","AQU_20190104_1",65,"She'll Do",0.00517082781129578,0.221833664217374,0.472155492361142,0.10552039585751,6
"11","AQU_20190104_1",66,"Silk Assassin",-0.0173457625451714,0.244374252015545,0.515218470738418,0.0884342070120216,1
"12","AQU_20190104_1",67,"Moon and Stars",0.00580391933806828,0.219418872446054,0.479107546248077,0.104093952636713,6
"13","AQU_20190105_1",113,"Needs No Ice",-0.00460061490074746,0.237306470495278,0.413934803352322,0.115744369435806,6
"14","AQU_20190105_1",114,"Promise Me Roses",-0.00402717706538093,0.275372727663501,0.53690117545198,0.11219527052151,6
"15","AQU_20190105_1",115,"Low Is Laine",-0.0127138123503023,0.186358915636408,0.460627083711728,0.10859527956826,1
"16","AQU_20190105_1",116,"Got the Gist",0.00233979640916475,0.261297529329687,0.481314254490005,0.111754094763607,6
"17","AQU_20190105_1",117,"Reyana Reya Dreams",-0.01485776760838,0.223741951668696,0.468487523756194,0.0985041092497987,1
"18","AQU_20190105_1",118,"Youmakemeblush",-0.000292764277725393,0.264925143351928,0.559750783960729,0.0967236344819864,6
"19","AQU_20190105_2",119,"Monteleone",-0.00199129900618046,0.231417864819046,0.530741671406517,0.0871352126731475,6
"20","AQU_20190105_2",120,"Trustworthy",0.0136496340726847,0.209739469524833,0.508130303316255,0.0916681233277969,6
