"","race_id","horse_id","horse_name","median_total_strain","max_avg_strain","iqr_total_strain","max_total_strain","sd_avg_strain","cluster"
"1","AQU_20190101_1",1,"Sounds Delicious",0.0775689471972124,2.44774102227285,0.348894821979384,9.79096408909139,2.28482930351355,4
"2","AQU_20190101_1",2,"Crimson Frost",0.0369592170976927,2.94861442146086,0.28253652071969,11.7944576858434,3.4885932222976,5
"3","AQU_20190101_1",3,"Friend of Liberty",0.0643036681418456,2.42503137555505,0.367625682601452,9.70012550222019,2.83890038522453,8
"4","AQU_20190101_1",4,"Bobby's Song",0.0457166388994692,4,0.427416184596132,9.50943787437227,2.64895627000023,9
"5","AQU_20190101_1",4638,"Jc's Shooting Star",0.0288483690183077,2.15099785685741,0.329785850408853,8.60399142742964,1.67099233427338,4
"6","AQU_20190101_2",5,"Bourbon N Rye",0.209147727474594,3.20287276820621,0.499303775396462,19.2172366092372,6.13914377277013,5
"7","AQU_20190101_2",6,"Bourbon Did It",0.137000651359902,2.75552850379132,0.270312059794962,16.5331710227479,3.55826184222618,5
"8","AQU_20190101_2",7,"Tenency",0.175364154068448,2.84669917712885,0.399367399790588,17.0801950627731,3.46049916473362,5
"9","AQU_20190101_2",8,"Legion Storm",0.152452986818626,2.75797670397495,0.41562437548983,16.5478602238497,2.53715415818673,4
"10","AQU_20190101_2",9,"Frost's Song",0.163914436586025,2.94602605378971,0.49186545162679,17.6761563227383,3.37157858699061,5
"11","AQU_20190101_2",10,"Kavansberg",0.0711117638394884,2.91029802325666,0.947874633306867,17.46178813954,4.11622596363848,8
"12","AQU_20190101_2",11,"Tammany Giant",0.152190025418452,4,0.453533774057194,14.6156137173471,3.04571214301245,9
"13","AQU_20190101_3",12,"Call It a Truce",0.0939216813134648,2.97690198066728,0.548663810035785,20.838313864671,3.23450063662096,4
"14","AQU_20190101_3",13,"Annette's Humor",0.0500702652374728,1.64861781931865,0.43635735045535,11.5403247352306,4.00337472331733,8
"15","AQU_20190101_3",14,"Rose of Dublin",0.0744082547025196,2.74497372028577,0.513261248289828,19.2148160420004,3.67316189605999,5
"16","AQU_20190101_3",15,"Caralicious",0.0276478289500478,1.97153164769606,0.602108383536224,13.8007215338724,4.9963987137374,8
"17","AQU_20190101_3",16,"Big Brown Cat",0.028484267151526,1.79046958266095,0.658219790191364,12.5332870786266,7.69522715944056,1
