"","race_id","horse_id","horse_name","mean_acceleration","median_acceleration","range_acceleration","iqr_acceleration","cluster"
"1","AQU_20190101_1",1,"Sounds Delicious",0.14248398069306,-0.0279316049437005,3.59762069560499,0.164448809151579,9
"2","AQU_20190101_1",2,"Crimson Frost",0.139516844141552,-0.00904141595437914,3.43486337130866,0.225647539704416,9
"3","AQU_20190101_1",3,"Friend of Liberty",0.13642683814175,-0.0456192688041415,3.55516629015668,0.213441773477926,9
"4","AQU_20190101_1",4,"Bobby's Song",0.141861000359188,-0.0224746876820276,4.5913942782887,0.268475869123284,6
"5","AQU_20190101_1",4638,"Jc's Shooting Star",0.160370459452962,-0.0196390943826685,3.73312820936756,0.243031723295284,9
"6","AQU_20190101_2",5,"Bourbon N Rye",0.201138282473457,-0.00324343621114072,6.30799466667722,0.28904940024964,1
"7","AQU_20190101_2",6,"Bourbon Did It",0.0982588786059704,-0.0417178421437091,3.01053582924512,0.244990162717505,8
"8","AQU_20190101_2",7,"Tenency",0.163654590738888,-0.0351531339386027,5.31915023389938,0.23000162333589,6
"9","AQU_20190101_2",8,"Legion Storm",0.103904947726906,-0.0120481511990731,2.66778420092155,0.250329976547042,8
"10","AQU_20190101_2",9,"Frost's Song",0.0937120138202427,-0.03214050085405,2.8843293489134,0.285048515176135,8
"11","AQU_20190101_2",10,"Kavansberg",0.0929924021464371,0.0500203300043276,4.76722473712822,0.705430502470357,1
"12","AQU_20190101_2",11,"Tammany Giant",0.0805322874348823,-0.0540134798234537,2.76423583048034,0.222341644785607,8
"13","AQU_20190101_3",12,"Call It a Truce",0.168931813701793,-0.0525706268078672,3.62894340347709,0.206719957676438,9
"14","AQU_20190101_3",13,"Annette's Humor",0.156850435806521,-0.0716431985659547,3.7042118007729,0.219381012566469,2
"15","AQU_20190101_3",14,"Rose of Dublin",0.164343304764009,-0.0379752271956401,3.39528331497678,0.212193126633197,9
"16","AQU_20190101_3",15,"Caralicious",0.216402016928292,0.0049544136046917,4.66004195893443,0.263979391391231,6
"17","AQU_20190101_3",16,"Big Brown Cat",0.15417943150544,-0.0659547056663605,3.6214889440681,0.222930131156888,2
"18","AQU_20190101_3",17,"Dontcallmefrancis",0.175108544749257,-0.0380508395034253,3.24782203411351,0.219160637898033,9
"19","AQU_20190101_3",18,"Ladyberg",0.190072413450371,0.00631278875026453,3.64646051300479,0.275575062998863,2
"20","AQU_20190101_3",19,"T J's Rose Ella",0.163732428641579,-0.0224065953532669,3.69168926096536,0.315132726449953,2
"21","AQU_20190101_4",20,"Small Bear",0.0840028439251517,-0.000150460756844082,2.93513588542588,0.164354512704927,5
"22","AQU_20190101_4",21,"Holiday Bonus",0.0734510127710461,-0.021107713059268,2.88651260581828,0.183700615420461,5
"23","AQU_20190101_4",22,"Backsideofthemoon",0.0767547976103426,-0.00373090940556943,2.99451079405378,0.229801953894701,5
"24","AQU_20190101_4",23,"Hit It Once More",0.0735716551500282,-0.0374721330494007,3.99571708919893,0.240900253737366,6
"25","AQU_20190101_4",24,"Roaming Union",0.0567786016122227,-0.0259080893115424,3.14534582980311,0.21850223114526,5
"26","AQU_20190101_4",25,"Bronx Sandman",0.0505005043442139,-0.0349157286807614,3.05053362795503,0.163171561115477,9
"27","AQU_20190101_5",26,"Carrera Cat",0.147180164605176,-0.0198761318830465,4.11367503019263,0.359040365565359,2
"28","AQU_20190101_5",27,"Gentle Annie",0.131960564944785,-0.0119076029553808,3.9812212164561,0.368572714798364,3
"29","AQU_20190101_5",28,"Passporttovictory",0.133601970526305,-0.0239055665827957,3.72471620831205,0.196177048807081,9
"30","AQU_20190101_5",29,"Miss Marion",0.139559130905828,-0.0176664946276427,3.66790961820998,0.207958536095391,9
"31","AQU_20190101_5",30,"Scorpion Bowl",0.12394948762069,-0.0181975280495503,4.26967494119241,0.266861722067172,6
"32","AQU_20190101_5",31,"Southern Fried Fun",0.0949034768529761,-0.058766322443876,4.66310549477675,0.223760347654503,6
"33","AQU_20190101_5",32,"Pinchbeck",0.103720637251465,-0.0649504569678198,3.58299515306742,0.215917932858732,9
"34","AQU_20190101_6",33,"Stone Breaker",0.10395191227683,-0.0250143537229661,2.76956515384343,0.212620297963028,9
"35","AQU_20190101_6",34,"Papa Jim",0.115803817688025,-0.00136451711853405,2.97124181932071,0.321814124187216,8
"36","AQU_20190101_6",35,"Dr. Lloyd",0.103399417276603,-0.0578348338485344,3.13422638065772,0.234917131443316,9
"37","AQU_20190101_6",36,"Dollarsforpennies",0.0943658730841036,-0.028094209124998,3.19959888540017,0.19277408850269,9
"38","AQU_20190101_6",37,"Simbasalltrouble",0.127351371681915,-0.0330839765954573,5.38137806310228,0.228924469774043,3
"39","AQU_20190101_6",38,"Straphanger",0.0959617850341501,-0.0425903758597978,2.72001430274721,0.251401211204745,8
"40","AQU_20190101_6",39,"Lettercarrierhenry",0.0574146157864402,-0.0690973636152642,2.86389317068788,0.282401233232314,8
"41","AQU_20190101_7",40,"Flat Calm",0.156831678020735,-0.0231903818312047,3.40883497467206,0.222268883836765,9
"42","AQU_20190101_7",41,"Timely Tradition",0.163217976699881,0.00292381317191667,3.5263766063433,0.230513092999115,9
"43","AQU_20190101_7",42,"My Roxy Girl",0.142176359253066,-0.0290394268853018,3.42746497895742,0.228362860043679,9
